,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Йогурт Активиa Мюсли,3.8,3.2,15.8,107
1,,Йогурт Активиa Мюсли и киви,3.8,3.0,15.8,105
2,,Йогурт Активиa Мюсли и персик,3.8,3.2,15.8,107
3,,Йогурт Активиa Натуральный,4.5,3.5,6.3,75
4,,Йогурт Активиa Отруби и злаки,3.8,2.9,14.0,97
5,,Йогурт Активиa Чернослив,3.8,2.9,14.5,99
6,,Йогурт Активиа Био+протеиновая натуральная,8.8,1.8,3.8,67
7,,Йогурт Активиа Инжир,3.8,2.9,14.1,98
8,,"Йогурт Активиа лёгкая 1,5%",5.3,1.5,7.5,65
9,,Йогурт Био Баланс Зелёный чай-лимон,3.1,1.5,12.8,77
10,,Йогурт Био Баланс Злаки,3.1,1.5,12.6,76
11,,Йогурт Био Баланс Клубника,3.1,1.5,14.1,82
12,,Йогурт Био Баланс Черника-злаки,3.1,1.5,13.1,78
13,,Йогурт Био Баланс Чернослив,3.1,1.5,13.0,78
14,,Йогурт греческий,5.0,3.2,3.5,66
15,,Йогурт Данон Вишня и черешня,2.9,1.6,15.7,89
16,,Йогурт Данон Клубника,2.8,1.5,14.5,83
17,,Йогурт Данон Персик и маракуйя,2.8,1.5,14.5,83
18,,Йогурт Данон термостатный густой 1.5%,3.6,1.5,5.2,49
19,,Йогурт Данон Черника,2.8,1.5,14.5,83
20,,Йогурт Для всей семьи с черникой,3.1,2.5,14.9,95
21,,Йогурт натуральный 2%,4.3,2.0,6.2,60
22,,Йогурт натуральный 3.2%,5.0,3.2,3.5,66
23,,Йогурт Простоквашино белый классический,3.9,2.7,6.5,66
24,,Йогурт фруктовый 1.5%,3.7,1.5,8.9,63
25,,Йогурт фруктовый 3.2%,5.0,3.2,8.5,85
26,,Йогурт Чудо Двойной вкус Вишня-Черешня,2.8,2.4,14.7,92
27,,Йогурт Чудо Двойной вкус Клубника-Земляника,2.8,2.4,14.7,92
28,,Йогурт Чудо Двойной вкус Малина-Черника,2.8,2.4,14.7,92
29,,Йогурт Чудо Двойной вкус Манго-Дыня,2.8,2.4,14.7,92
30,,Йогурт Чудо Двойной вкус Персик-Абрикос,2.8,2.4,14.7,92
31,,Йогурт Чудо Лесные ягоды,2.8,2.4,14.5,91
32,,Йогурт Чудо Яблоко-Мюсли,2.8,2.5,15.5,96
33,,Каймак,6.1,23.5,1.2,242
34,,Катык 0.1%,2.8,0.1,4.2,28
35,,Катык 3.2%,2.8,3.2,4.2,56
36,,Катык 6%,2.8,6.0,3.6,80
37,,Кефир 0%,3.0,0.1,3.8,30
38,,Кефир 1%,2.8,1.0,4.0,40
39,,Кефир 1.5%,3.3,1.5,3.6,41
40,,Кефир 2%,3.4,2.0,4.7,51
41,,Кефир 2.5%,2.8,2.5,3.9,50
42,,Кефир 3.2%,2.8,3.2,4.1,56
43,,Кефирный продукт Био Баланс 0%,3.2,0.1,4.5,32
44,,Кефирный продукт Био Баланс 1%,3.0,1.0,5.0,41
45,,Коктейль Чудо молочное Шоколад 2%,2.8,2.0,11.9,77
46,,Кумыс из кобыльего молока,2.1,1.9,5.0,50
47,,Кумыс из коровьего молока,3.0,0.1,6.3,41
48,,Кумыс из коровьего молока обезжиренный,1.5,0.1,2.1,15
49,,Мацони из козьего молока,2.9,4.4,3.2,64
50,,Мацони из коровьего молока,2.8,3.2,3.6,54
51,,Мацони из коровьего молока маложирный,2.9,1.5,3.6,40
52,,Молоко,3.2,3.6,4.8,64
53,,Молоко 0.1% (обезжиренное),2.0,0.1,4.8,31
54,,Молоко 0.5%,2.8,0.5,4.9,35
55,,Молоко 0.7%,3.3,0.7,4.7,38
56,,Молоко 1%,3.3,1.0,4.8,41
57,,Молоко 1.5%,2.8,1.5,4.7,44
58,,Молоко 2.5%,2.8,2.5,4.7,52
59,,Молоко 3.2%,2.9,3.2,4.7,59
60,,Молоко 3.2% (пастеризованное),2.8,3.2,4.7,58
61,,Молоко 3.6%,2.8,3.6,4.7,62
62,,Молоко 4.5%,3.1,4.5,4.7,72
63,,Молоко белковое,4.3,1.0,6.4,52
64,,Молоко буйволиное,4.0,7.8,4.9,106
65,,Молоко верблюжье,4.0,5.1,4.9,82
66,,Молоко имбирное,1.2,1.0,1.5,21
67,,Молоко кислое,2.2,2.5,3.5,60
68,,Молоко кобылье,2.2,1.0,5.8,41
69,,Молоко козье,3.6,3.3,4.8,68
70,,Молоко кокосовое Blue Dragon,1.8,14.9,2.7,152
71,,Молоко коровье свежее,2.9,3.5,4.7,62
72,,Молоко овечье,6.5,7.7,4.8,110
73,,Молоко ореховое,3.7,3.5,21.3,126
74,,Молоко Простоквашино 2.5%,2.9,2.5,4.7,53
75,,Молоко рисовое натуральное,0.1,1.3,12.2,60
76,,Молоко сгущённое без сахара,6.6,7.5,9.4,131
77,,Молоко сгущённое с сахаром,7.2,8.5,56.0,320
78,,Молоко сгущённое с сахаром нежирное,10.0,0.0,58.0,272
79,,Молоко соевое,3.3,1.8,5.7,54
