,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Чеснок чёрный,6.5,0.5,29.9,149
1,,Чечевица (ростки),9.0,0.6,22.1,119
2,,Чечевица Агро-Альянс красная,26.0,2.0,57.0,350
3,,Чечевица Агро-Альянс Элитная,28.0,1.9,57.6,360
4,,Чечевица Бондюэль консервированная,8.6,0.6,17.5,110
5,,Чечевица варёная,7.8,0.0,20.1,112
6,,Чечевица красная,21.6,1.1,48.0,314
7,,Чечевица Мистраль Персидская,25.0,1.1,53.0,322
8,,Чечевица сушёная,24.0,1.5,42.7,284
9,,Чечевичные котлеты быстрого приготовления,19.2,2.2,54.8,307
10,,Шнитт-лук,3.3,0.7,1.9,30
11,,Шпинат,2.9,0.3,2.0,22
12,,Шпинат 4 сезона листья порционные,3.0,0.2,5.4,22
13,,Шпинат Hortex размельченный,2.3,0.4,0.4,19
14,,Шпинат Бондюэль в листьях,3.6,0.5,2.7,30
15,,Шпинат Бондюэль в листьях консервированный,2.8,0.4,1.8,22
16,,Шпинат Бондюэль в листьях порционный,3.7,0.5,2.0,27
17,,Шпинат Бондюэль рубленый в галетах,2.8,0.7,2.5,27
18,,Шпинат замороженный,2.6,0.8,7.2,24
19,,Щавель,1.5,0.3,2.9,19
20,,Эдамам,13.0,6.2,11.1,147
21,,Эндивий,1.3,0.2,0.3,17
22,,Якон,2.1,0.1,12.8,61
23,,Ямс,1.5,0.2,23.8,118
