,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Сыворотка творожная,0.8,0.2,3.5,20
1,,Сыр Almette с белыми грибами,6.0,23.0,5.0,251
2,,Сыр Almette с зеленью,6.0,20.0,3.0,216
3,,Сыр Almette с йогуртом,7.0,15.0,5.0,183
4,,Сыр Almette с огурцами и зеленью,5.0,20.0,3.0,212
5,,Сыр Almette с хреном,6.0,20.0,4.0,220
6,,Сыр Almette с чесноком,6.0,20.0,3.0,216
7,,Сыр Almette сливочный,6.0,20.0,3.0,216
8,,Сыр Exquisa творожный с зеленью,6.7,22.0,3.0,237
9,,Сыр Exquisa творожный с лососем,6.7,21.5,3.5,235
10,,Сыр Fallini Rapesan тёртый,49.5,29.2,4.4,478
11,,Сыр Grill Akadia,17.0,19.0,3.0,245
12,,Сыр Hochland Bleu,15.0,39.0,1.0,415
13,,Сыр Hochland плавленый ассорти,10.0,27.0,5.0,303
14,,Сыр Hochland плавленый Маасдам ломтики,12.0,22.0,7.0,270
15,,Сыр Hochland плавленый с ветчиной ломтики,14.0,24.0,4.0,288
16,,Сыр Hochland плавленый с огурцами и укропом ломтики,15.0,21.0,5.0,269
17,,Сыр Hochland плавленый с салями и специями ломтики,13.0,24.0,4.0,284
18,,Сыр Hochland плавленый Сэндвич ломтики,14.0,23.0,4.0,279
19,,Сыр Hochland плавленый Чизбургер ломтики,14.0,23.0,4.0,279
20,,Сыр Hochland творожный с зеленью,6.0,20.0,2.0,212
21,,Сыр Old Amsterdam,6.2,39.0,0.0,407
22,,Сыр President Rondele козий,9.0,10.5,4.0,354
23,,Сыр President Rondele творожный,7.0,31.0,2.5,317
24,,Сыр President Rondele творожный с орехами,6.5,31.0,2.5,315
25,,Сыр President Rondele творожный с чесноком и травами,6.8,31.2,4.2,325
26,,Сыр President Мастер Бутерброда Лёгкий,16.5,8.5,9.5,185
27,,Сыр President Мастер Бутерброда Мааздам,13.5,17.5,6.0,240
28,,Сыр President Мастер Бутерброда Моцарелла,9.0,20.0,6.5,281
29,,Сыр President Пише Миньон,18.0,28.0,1.0,324
30,,Сыр Valio Polar 5%,34.0,5.0,0.0,180
31,,Сыр Valio рассыпчатый творожный 2%,13.0,2.0,2.0,80
32,,Сыр Viola с ветчиной,11.0,28.0,2.0,305
33,,Сыр Viola с лисичками,11.0,28.0,2.0,305
34,,Сыр Viola с паприкой,11.0,28.0,2.0,305
35,,Сыр Viola с укропом и огурцом,11.0,28.0,2.0,305
36,,Сыр Viola сливочный,11.0,28.0,2.0,305
37,,Сыр Vitalat Рикотта,7.0,6.0,0.0,97
38,,Сыр Абонданс,26.3,26.6,0.0,350
39,,Сыр Адыгейский,18.5,14.0,0.0,240
40,,Сыр Алтайский,26.0,26.5,3.5,356
41,,Сыр Альпийский,25.0,27.0,0.0,353
42,,Сыр Амадеус,28.6,29.3,0.1,275
43,,Сыр Амбер,31.0,10.0,10.0,220
44,,Сыр Анари,11.0,15.0,2.0,195
45,,Сыр Аппенцеллер,24.7,31.7,2.0,403
46,,Сыр Арла Буко,8.5,17.0,3.0,200
47,,Сыр Арла Буко Баланс,8.5,17.0,3.0,200
48,,Сыр Арла Натура Лайт,29.0,16.0,1.0,260
49,,Сыр Арла Натура Моцарелла,26.0,21.7,1.0,303
50,,Сыр Арла Натура Сливочный,25.0,26.0,0.0,340
51,,Сыр Асьяго,10.9,8.1,1.2,122
52,,Сыр Атлет,30.0,19.0,0.0,290
53,,Сыр Бавария Блю,13.5,43.8,0.5,450
54,,Сыр Бийский,24.2,29.9,0.0,371
55,,Сыр Бонгрейн Фол Эпи,28.8,16.0,1.8,267
56,,Сыр Бонфесто Моцарелла Пицца,18.4,20.3,0.0,256
57,,Сыр Бонфесто Рикотта Лайт мягкий,11.3,10.0,2.5,145
58,,Сыр Бофор,26.3,26.6,0.0,350
59,,Сыр Брест-Литовск лёгкий 35%,31.2,18.2,0.0,289
60,,Сыр Бри,21.0,23.0,0.0,291
61,,Сыр брынза (из коровьего молока),17.9,20.1,0.0,260
62,,Сыр брынза (из овечьего молока),14.6,25.5,0.0,298
63,,Сыр Брынза Сербская,11.9,15.5,2.6,208
64,,Сыр Бурата,0.0,35.0,0.0,330
65,,Сыр Вырусский,29.0,15.0,0.0,258
66,,Сыр Гауда,25.0,27.0,2.0,356
67,,Сыр Гермелин,20.0,25.0,1.0,303
68,,Сыр Голландский,26.0,26.8,0.0,352
69,,Сыр Горгонзола,19.0,26.0,0.0,330
70,,Сыр Горный,29.3,29.7,1.0,400
71,,Сыр Грана Падано,33.0,28.0,0.0,384
72,,Сыр Грация 20%,30.0,9.0,0.0,209
73,,Сыр Грюйер,27.0,31.0,0.0,396
74,,Сыр Данбо,25.0,26.0,1.0,340
75,,Сыр Датский,25.0,24.3,0.0,330
76,,Сыр Деревенский,10.3,5.3,3.0,103
77,,Сыр Джугас,33.0,25.0,1.7,364
78,,Сыр Домашний,12.7,5.0,4.0,113
79,,Сыр Дор Блю,21.0,30.0,0.0,354
