,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Азу,11.9,14.2,10.2,214
1,,Антрекот,27.3,31.2,1.7,396
2,,Антрекот из говядины,29.6,11.2,0.0,220
3,,Антрекот из свинины,28.7,9.8,0.0,210
4,,Бараний окорок,18.0,18.0,0.0,232
5,,Бараний рубец,11.5,4.0,0.0,82
6,,Бараний фарш,17.0,23.0,0.0,282
7,,Бараний язык,12.6,16.1,0.0,195
8,,Баранина,15.6,16.3,0.0,209
9,,Баранина вареная,24.6,21.4,0.0,291
10,,Баранина жареная,20.0,24.0,0.0,320
11,,Баранина тушеная,20.0,20.9,0.0,268
12,,Баранье сердце,13.5,2.5,0.0,82
13,,Бараньи почки,13.6,2.5,0.0,77
14,,Бараньи яйца,13.0,19.0,0.1,230
15,,Баранья лопатка,15.6,25.0,0.0,284
16,,Баранья печень,18.7,2.9,0.0,101
17,,Бастурма турецкая,14.8,20.1,0.0,240
18,,Бекон,23.0,45.0,0.0,500
19,,Бефстроганов,21.9,27.4,5.7,355
20,,Бефстроганов из говядины,16.7,11.3,5.9,193
21,,Бефстроганов из курицы,14.7,2.0,0.4,163
22,,Бефстроганов из свинины,19.4,7.1,0.0,142
23,,Бизонье мясо,21.6,1.2,0.0,109
24,,Бифштекс,27.8,29.6,1.7,384
25,,Блюдо армянское Бозбаш 4 сезона,3.0,9.5,4.0,126
26,,Блюдо болгарское Жаркое по-деревенски 4 сезона,3.5,11.1,5.5,137
27,,Блюдо греческое Мясо по-македонски 4 сезона,5.8,10.1,22.0,206
28,,Блюдо грузинское Чахохбили с фасолью 4 сезона,6.2,5.5,3.4,87
29,,Блюдо индийское Цыплёнок карри 4 сезона,6.6,3.2,21.0,142
30,,Блюдо испанское Паэлья 4 сезона,8.2,3.0,16.3,129
31,,Блюдо итальянское Пенне карбонара 4 сезона,5.6,11.4,16.4,188
32,,Блюдо итальянское Ризотто с морепродуктами 4 сезона,6.5,6.4,18.8,163
33,,Блюдо китайское Курочка по-пекински 4 сезона,5.6,3.3,11.8,102
34,,Блюдо китайское Свинина в кисло-сладком соусе 4 сезона,4.4,9.4,14.8,153
35,,Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона,6.6,8.5,10.7,127
36,,Блюдо мексиканское Чили кон карне 4 сезона,6.4,8.8,15.7,160
37,,Блюдо наше Макароны по-флотски 4 сезона,7.6,9.9,21.2,185
38,,Блюдо русское Барашек с гречкой 4 сезона,5.9,13.8,17.7,224
39,,Блюдо среднеазиатское Лагман 4 сезона,4.3,8.9,13.3,158
40,,Блюдо тайское Лапша карри 4 сезона,5.9,6.4,12.7,128
41,,Блюдо узбекское Плов с бараниной 4 сезона,4.2,6.0,14.9,150
42,,Блюдо французское Шампиньон де пари 4 сезона,6.7,9.5,5.1,129
43,,Блюдо швейцарское Фондю эменталь 4 сезона,7.9,10.2,13.3,175
44,,Блюдо японское Сакэна с рисом 4 сезона,5.7,2.4,13.6,103
45,,Буженина вареная,16.4,18.3,1.0,233
46,,Буйволятина,19.0,13.2,0.0,194
47,,Буйволятина вареная,30.0,17.4,0.0,276
48,,Буйволятина жареная,33.4,23.2,0.0,342
49,,Буйволятина тушеная,24.4,16.9,0.0,250
50,,Бычьи яйца,13.0,20.0,0.1,230
51,,Верблюжатина,18.9,9.4,0.0,160
52,,Верблюжатина вареная,29.8,12.4,0.0,230
53,,Верблюжатина жареная,33.3,16.5,0.0,281
54,,Верблюжатина тушеная,24.3,12.1,0.0,205
55,,Ветчина,14.0,24.0,0.0,270
56,,Ветчина DAK Датская,18.0,4.0,1.0,471
57,,Ветчина в форме,22.6,20.9,0.0,278
58,,Ветчина из индейки обезжиренная,15.0,1.0,2.0,77
59,,Ветчина Империя Вкуса из индейки,11.0,3.0,7.0,99
60,,Ветчина Останкино нежная из индейки,10.0,10.0,5.0,154
61,,Ветчина Останкино нежная из свиного окорока,8.0,13.0,3.0,166
62,,Ветчина Пармская,24.4,22.5,0.1,300
63,,Глухарь,18.0,20.0,0.5,254
64,,Говядина,18.9,12.4,0.0,187
65,,Говядина вареная,25.8,16.8,0.0,254
66,,Говядина вареная нежирная,25.7,8.1,0.2,175
67,,Говядина жареная,32.7,28.1,0.0,384
68,,Говядина мраморная,18.0,10.0,0.0,170
69,,Говядина постная,22.2,7.1,0.0,158
70,,Говядина постная жареная,29.0,9.1,0.0,206
71,,Говядина средней жирности,25.0,20.0,0.0,275
72,,Говядина тушеная,16.8,18.3,0.0,232
73,,Говядина тушеная Лента,15.0,17.0,0.0,213
74,,Говяжий гуляш,14.0,9.2,2.6,148
75,,Говяжий рубец,14.8,4.2,0.0,97
76,,Говяжий фарш,17.2,20.0,0.0,254
77,,Говяжий фарш жирный,15.0,25.0,0.0,293
78,,Говяжий фарш постный,18.0,15.0,0.0,215
79,,Говяжий хвост,19.7,6.5,0.0,137
