name,protein,fats,carbs,calories,category 
Свиное сердце,16.9,4.8,2.2,118,7
Свиной балык,15.4,24.9,0.0,286,7
Свиной край на гриле,21.0,35.0,0.0,400,7
Свиной окорок,18.0,21.3,0.0,261,7
Свиной окорок копчено-вареный (Ашан),14.0,26.0,0.0,306,7
Свиной ошеек,16.1,22.8,0.0,267,7
Свиной подгрудок,7.4,67.8,0.0,630,7
Свиной фарш,17.0,21.0,0.0,263,7
Свиной шпик,1.4,92.8,0.0,841,7
Свиной язык,16.5,11.1,0.0,165,7
Свиные легкие,14.1,2.7,0.0,85,7
Свиные легкие тушеные,16.6,3.1,0.0,99,7
Свиные ноги,18.0,16.0,0.0,216,7
Свиные отбивные на гриле,28.0,24.0,0.0,340,7
Свиные почки,16.8,3.8,0.0,102,7
Свиные ребра,15.2,29.3,0.0,321,7
Свиные ребра копчено-вареные,10.0,55.0,0.0,535,7
Свиные ребра копченые,10.0,52.7,0.0,514,7
Свиные уши,21.0,14.1,0.0,211,7
Страусиное мясо,21.7,1.2,0.0,98,7
Субпродукты тушеные,24.0,8.0,0.0,185,7
Телятина отварная,30.7,0.9,0.0,131,7
Телячий окорок,19.9,3.1,0.0,108,7
Телячьи легкие,16.3,2.3,0.0,90,7
Телячьи легкие тушеные,18.7,2.6,0.0,104,7
Телячьи ребра,16.3,18.7,0.0,233,7
Телячья лопатка,19.9,2.8,0.0,106,7
Телячья мякоть,20.5,2.4,0.0,105,7
Телячья печень,19.2,3.3,4.1,124,7
Тетерев,18.0,20.0,0.5,254,7
Тефтели свиные,7.0,10.0,12.0,172,7
Улитка виноградная,16.1,1.4,2.0,90,7
Утиная печень,15.8,38.0,0.0,405,7
Утка,13.5,28.6,0.0,308,7
Утка вареная,19.7,18.8,0.0,248,7
Утка жареная,22.6,19.5,0.0,266,7
Утка копченая,19.0,28.4,0.0,337,7
Фазан,18.0,20.0,0.5,254,7
Фуа-гра,11.4,43.8,4.7,462,7
Хамон,34.8,16.1,1.3,241,7
Цесарка,20.6,2.5,0.0,110,7
Цыпленок-бройлер охлажденный,18.7,16.1,0.5,219,7
Цыпленок-бройлер Филе бедра Первая Свежесть охлажденное,13.8,8.7,0.4,136,7
Черепаха,19.8,0.5,0.0,89,7
Эскалоп,19.0,42.8,6.8,487,7
Ягнёнок (каре),16.2,14.1,0.0,192,7
Ягнёнок (нога),20.6,5.1,0.0,134,7
Ягнятина,16.2,14.1,0.0,192,7
