name,protein,fats,carbs,calories,category
Баренцев Анчоус солёно-сушёный,49.0,7.0,0.0,259,11
Баренцев Кальмар кольца,53.0,2.0,3.0,242,11
Баренцев Кальмар копчёный,53.0,2.0,3.0,242,11
Баренцев Кальмар солёно-сушёный,62.0,2.0,5.0,286,11
Баренцев Креветка со специями,36.0,4.0,3.0,192,11
Баренцев Окинэль ломтики филе,50.7,8.6,0.0,280,11
Баренцев Окинэль с перцем,50.7,8.6,0.0,280,11
Баренцев Соломка рыбная оригинальная,46.0,3.0,5.0,231,11
Баренцев Соломка рыбная подкопченная,46.0,3.0,5.0,231,11
Баренцев Сомуль солёно-сушёный,65.8,1.2,0.0,274,11
Баренцев Ставридка золотистая подкопченная,48.0,8.0,0.0,264,11
Баренцев Ставридка серебристая солёно-сушёная,48.0,8.0,0.0,264,11
Баренцев Тунец солёно-сушёный,57.8,0.3,0.0,234,11
Баренцев Чиксы рыбка с перцем,50.7,8.6,0.0,280,11
Попкорн карамельный,5.3,8.7,76.1,401,11
Попкорн солёный,7.3,13.5,62.7,407,11
Попкорн сырный,5.8,30.8,50.1,506,11
Сильвер Анчоус солёно-сушеный,57.4,3.1,0.1,258,11
Сильвер Жёлтая рыбка,40.0,16.9,1.0,336,11
Сильвер Жёлтый полосатик,52.4,5.8,3.3,262,11
Сильвер Кальмар копчёный,58.0,1.0,3.0,263,11
Сильвер Кальмар сушёный,58.0,1.0,3.0,263,11
Сильвер Камбала,57.9,2.0,3.0,275,11
Сильвер Кольца кальмара,45.0,1.0,13.0,241,11
Сильвер Кольца кальмара копчёные,45.0,1.0,13.0,241,11
Сильвер Креветка гриль,42.0,0.5,2.0,150,11
Сильвер Морской язык,40.0,16.9,3.0,336,11
Сильвер Осьминог сушёный,31.0,0.5,2.0,95,11
Сильвер Ставридка,52.4,5.8,3.3,262,11
Сильвер Тунец серебристый,46.3,8.8,0.0,200,11
Сильвер Угорь,57.9,2.0,3.0,275,11
Сильвер Янтайная рыбка,40.0,16.9,1.0,336,11
Сухарики Хрусteam Багет сырное ассорти,10.5,15.7,66.0,445,11
Сухарики Хрусteam копчёная колбаска,9.1,14.4,64.0,423,11
Сухарики Хрусteam лесные грибы,9.0,14.3,66.0,428,11
Сухарики Хрусteam салями,8.5,12.0,69.0,425,11
Сухарики Хрусteam сметана,9.5,15.0,63.0,426,11
Сухарики Хрусteam сыр,9.1,14.5,65.0,427,11
Сухарики Хрусteam телятина на гриле,8.8,14.0,65.0,420,11
Сухарики Хрусteam томат,9.0,14.3,65.0,426,11
Сырцееды сыр копчёный классический,46.4,24.0,0.0,413,11
Сырцееды сыр копчёный со вкусом томата,46.4,24.0,0.0,413,11
Сырцееды сыр копчёный со вкусом чеснока и укропа,46.4,24.0,0.0,413,11
Чипсы Don Nachos кукурузные оригинальные,7.0,25.0,61.0,497,11
Чипсы Estrella деревенская сметана и лук,5.2,30.9,53.9,514,11
Чипсы Estrella душистый укроп,5.2,31.2,53.7,517,11
Чипсы Estrella нежный сыр,4.9,31.5,53.8,519,11
Чипсы Estrella сметана и нежный сыр,4.9,31.4,53.7,518,11
Чипсы Lays Max сметана и лук,6.0,30.0,53.0,510,11
Чипсы Lays Max сметана и сыр,6.5,30.0,53.0,510,11
Чипсы Lays бекон,6.5,30.0,53.0,510,11
Чипсы Lays белые грибы со сметаной,6.0,32.0,51.0,515,11
Чипсы Lays зелёный лук,6.5,30.0,53.0,510,11
Чипсы Lays краб,6.5,30.0,53.0,510,11
Чипсы Lays красная икра,7.0,30.0,53.0,510,11
Чипсы Lays малосольные огурчики с укропом,6.5,31.0,53.0,520,11
Чипсы Lays с солью,6.0,31.0,52.0,520,11
Чипсы Lays сметана и зелень,6.0,30.0,53.0,510,11
Чипсы Lays сыр,6.5,30.0,53.0,510,11
Чипсы Lays шашлык,6.0,32.0,51.0,515,11
Чипсы Pringles барбекю,4.9,35.0,48.0,550,11
Чипсы Pringles копчёный бекон,5.1,34.0,49.0,551,11
Чипсы Pringles оригинальные,4.1,36.0,49.0,540,11
Чипсы Pringles паприка,3.2,34.0,49.0,529,11
Чипсы Pringles сметана и лук,3.9,34.0,50.0,527,11
Чипсы Pringles сыр и лук,4.1,34.0,50.0,550,11
Чипсы Pringles сырный сыр,5.0,35.0,48.0,534,11
Чипсы банановые,2.3,33.6,50.7,519,11
Чипсы картофельные,5.5,30.0,53.0,520,11
Чипсы нори,24.9,23.8,47.6,476,11
Чипсы фруктовые,3.2,0.0,78.1,350,11
Чипсы яблочные,2.2,0.1,59.0,253,11
Штурвал Анчоус солёно-сушёный,22.0,2.7,3.1,147,11
Штурвал Жёлтый полосатик,46.0,4.0,2.0,228,11
Штурвал Золотая рыбка по-шанхайски,36.0,2.5,6.2,191,11
Штурвал Золотая рыбка солёная,37.9,3.0,3.0,191,11
Штурвал Кальмар солёно-сушёный,40.0,0.5,3.0,177,11
Штурвал Камчатский посол огненный,46.3,1.0,8.8,200,11
Штурвал Камчатский посол солёно-сушёный,46.3,1.0,8.8,200,11
Штурвал Кольца кальмара копчёные,45.0,0.5,3.2,197,11
