name,protein,fats,carbs,calories,category,5
Молоко соевое низкожирное,1.7,0.6,6.4,43,5
Молоко соевое обезжиренное,2.5,0.0,3.9,28,5
Молоко сухое Беллакт 25%,24.2,25.0,39.0,478,5
Молоко сухое обезжиренное,33.2,1.0,52.6,339,5
Молоко сухое цельное,26.0,25.0,37.5,476,5
Молоко топлёное,3.0,6.0,4.7,84,5
Молочко кедровое,2.3,4.5,1.2,55,5
Пахта 0.5%,3.4,0.5,4.7,37,5
Пахта 1%,3.3,1.0,4.7,40,5
Простокваша 0.1%,3.0,0.1,3.8,30,5
Простокваша 1%,3.0,1.0,4.1,40,5
Простокваша 2.5%,2.9,2.5,4.1,53,5
Простокваша 3.2%,2.8,3.2,4.1,58,5
Простокваша Останкинская 2.5%,2.8,2.5,4.2,51,5
Пудинг Чудо Ваниль,2.5,3.0,16.9,106,5
Пудинг Чудо Карамель,2.5,3.0,15.0,98,5
Пудинг Чудо Шоколадный,2.9,3.1,19.0,115,5
Ряженка 1%,3.0,1.0,4.2,40,5
Ряженка 2.5%,2.9,2.5,4.2,54,5
Ряженка 3.2%,2.9,3.2,4.1,57,5
Ряженка 4%,2.8,4.0,4.2,67,5
Ряженка 6%,5.0,6.0,4.1,84,5
Ряженка Останкинская 2.5%,2.8,2.5,4.2,51,5
Сгущенка Главпродукт вареная с сахаром,5.8,8.5,53.9,315,5
Сливки 9%,2.8,9.0,4.0,107,5
Сливки 10% (нежирные),3.0,10.0,4.0,118,5
Сливки 15% (маложирные),2.3,15.0,3.6,161,5
Сливки 20% (средней жирности),2.8,20.0,3.7,205,5
Сливки 33% (классические),2.2,33.0,4.0,322,5
Сливки 35% (жирные),2.5,35.0,3.0,337,5
Сливки взбитые,3.2,22.2,12.5,257,5
Сливки кокосовые Aroy-D,1.6,21.0,4.8,214,5
Сливки Простоквашино 10%,2.8,10.0,4.5,119,5
Сливки Простоквашино 20%,2.5,20.0,4.0,206,5
Сливки сгущенные с сахаром,6.1,19.0,53.0,410,5
Сливки соевые сухие Здоровое питание,3.4,25.5,64.4,500,5
Сливки сухие,23.0,42.7,26.3,579,5
Сливки сухие высокожирные,10.0,75.0,10.0,753,5
Сметана 10% (нежирная),3.0,10.0,2.9,115,5
Сметана 12%,2.7,12.0,3.9,133,5
Сметана 15% (маложирная),2.6,15.0,3.0,158,5
Сметана 18%,2.5,18.0,3.6,184,5
Сметана 20% (средней жирности),2.8,20.0,3.2,206,5
Сметана 25% (классическая),2.6,25.0,2.5,248,5
Сметана 30%,2.4,30.0,3.1,294,5
Сметана 40% (жирная),2.4,40.0,2.6,381,5
Сметана Простоквашино 15%,2.7,15.0,3.6,160,5
Снежок Домик в деревне продукт кисломолочный сладкий,2.9,2.5,10.0,74,5
Сузьма,2.8,3.2,4.2,80,5
